claimer name;claim;Hoax Class;Article Title;Date;Object;Subject;Tema Artikel
Claim by Beredar di Facebook:;Kakek dan ayah Presiden Jokowi pernah menjadi Ketua PKI Boyolali;Salah;[Fakta atau Hoaks] Benarkah Ayah dan Kakek Jokowi Pernah Menjadi Ketua PKI Boyolali?;Nov 14, 2019;Joko Widodo;Partai Komunis Indonesia;Ayah
Claim by Beredar di Facebook:;Presiden Rusia Vladimir Putin memainkan lagu Indonesia Raya dengan piano untuk Presiden Jokowi;Salah;[Fakta atau Hoaks] Benarkah Presiden Rusia Memainkan Lagu Indonesia Raya untuk Jokowi?;Oct 22, 2019;Joko Widodo;Presiden Rusia;Vladimir Putin
Claim by Beberapa sumber:;Jokowi di rumah penduduk di Riau dekat hutan yang terbakar;Salah;Foto ini telah disunting, menggunakan foto Jokowi yang diambil tahun 2016;Sep 23, 2019;Joko Widodo;Periksa Fakta;
Claim by Berbagai sumber:;Video orang Amerika pendukung Presiden Jokowi;Salah;Video ini menunjukkan demonstran anti rasisme di Amerika Serikat di bulan Juni 2020;Jun 24, 2020;Orang Amerika;Video;Periksa Fakta
Claim by Akun Facebook:;Novel Baswedan salahkan Presiden Jokowi terkait putusan pengadilan atas kasus penyiraman air keras terhadapnya dan menyuruhnya banding;Salah;[Fakta atau Hoaks] Benarkah Narasi yang Sebut Novel Baswedan Salahkan Jokowi dan Menyuruhnya Banding?;Jun 17, 2020;Novel Baswedan;Joko Widodo;Banding
;Jalan tol ini berada di Indonesia dan dibangun di masa pemerintahan Jokowi;Salah;Tidak, jalan tol di foto ini tidak berada di Indonesia dan tidak dibangun pada masa pemerintahan Presiden Jokowi;Apr 2, 2019;Jalan tol;Jalan;Joko Widodo
Claim by Beredar di YouTube dan Facebook:;Presiden Jokowi ancam copot Prabowo Subianto sebagai Menteri Pertahanan karena kalah pamor;Salah;[Fakta atau Hoaks] Benarkah Presiden Jokowi Ancam Copot Prabowo karena Kalah Pamor?;Dec 2, 2019;Prabowo Subianto;Joko Widodo;Menteri
Claim by multiple sources:;Susilo Bambang Yudhoyono mendukung Presiden Indonesia Jokowi;Salah;Tidak, video ini tidak menunjukkan dukungan SBY kepada Jokowi;Feb 24, 2019;Susilo Bambang Yudhoyono;Joko Widodo;Presiden Indonesia
Claim by Akun YouTube Erdogan Indonesia:;“TV Al-Jazeera menyiarkan kecurangan Pemilu di Indonesia, bikin geger Dunia. Pemilu curang telah dipertontonkan oleh Rezim Jokowi yang merusak citra Indonesia dimata dunia, demokrasi sudah mati di Indonesia. Itu Wiranto kalau berani suruh tutup TV tersebut, Sudah tersiar ke selu...;Salah;[Fakta atau Hoaks] Benarkah TV Al-Jazeera Telah Menyiarkan Kecurangan Pemilu di Indonesia?;May 15, 2019;Pemilihan;Televisi;Cek Fakta Tempo - TEMPO.co
Claim by Akun Facebook:;Hasil quick count Pilpres 2019 diubah dengan kemenangan pasangan Jokowi-Ma’ruf;Salah;[Fakta atau Hoaks] Benarkah Hasil Quick Count Pilpres 2019 Diubah dengan Kemenangan Pasangan Jokowi-Ma'ruf?;Jul 15, 2020;Pemilihan presiden;Hitung cepat;Joko Widodo
Claim by Viral di media sosial:;Mantan Presiden BJ Habibie berkata bahwa lawan berat Prabowo itu bukan Jokowi tapi kecurangan.;Salah;[Fakta atau Hoaks] Benarkah BJ Habibie Menyatakan Lawan Berat Prabowo adalah Kecurangan?;Apr 18, 2019;B. J. Habibie;Prabowo Subianto;Joko Widodo
Claim by Video beredar di WhatsApp:;"Video Joko Widodo ke Grand Indonesia, pengunjung berteriak ""tukang bohong"".";Sebagian Benar;[Fakta atau Hoaks] Benarkah Pengunjung Mall Grand Indonesia Teriaki Jokowi Tukang Bohong?;Apr 21, 2019;Joko Widodo;Kebohongan;Grand Indonesia
Claim by Blog Operainf:;Presiden Jokowi menyebut Cina bukan mencuri tapi hanya mengejar ikan yang lari ke perairan Natuna;Sebagian Benar;[Fakta atau Hoaks] Benarkah Jokowi Sebut Cina Bukan Mencuri Tapi Hanya Mengejar Ikan yang Lari ke Natuna?;Jan 13, 2020;Ikan;Pencurian;Joko Widodo
Claim by Beredar di Facebook:;Pelantikan Jokowi-Ma'ruf Amin disambut meletusnya Gunung Kawi;Sebagian Benar;[Fakta atau Hoaks] Benarkah Saat Jokowi-Ma'ruf Amin Dilantik Gunung Kawi Meletus?;Oct 24, 2019;Gunung Kawi;Gunung;Ma'ruf Amin
Claim by Akun Facebook:;Tidak ada lagi warga yang meminta bersalaman dan selfie dengan Presiden Jokowi saat berkunjung ke Yogyakarta karena muak dan jijik;Sesat;[Fakta atau Hoaks] Benarkah Tak Ada Lagi Warga yang Minta Salaman dan Selfie ke Jokowi Karena Muak dan Jijik?;Sep 1, 2020;Joko Widodo;Swafoto;Kejijikan
Claim by Berbagai sumber:;Presiden Jokowi makan tikus bakar;Sesat;Jokowi ditawari tikus bakar saat kampanye Pilpres 2014 -- tetapi ia menolaknya;Feb 3, 2020;Joko Widodo;Tikus;Periksa Fakta
Claim by Beredar di Facebook:;Kakek dan ayah Presiden Jokowi pernah menjadi Ketua PKI Boyolali;Sesat;[Fakta atau Hoaks] Benarkah Ayah dan Kakek Jokowi Pernah Menjadi Ketua PKI Boyolali?;Nov 14, 2019;Joko Widodo;Partai Komunis Indonesia;Ayah
Claim by Beredar di Facebook:;Presiden Rusia Vladimir Putin memainkan lagu Indonesia Raya dengan piano untuk Presiden Jokowi;Sesat;[Fakta atau Hoaks] Benarkah Presiden Rusia Memainkan Lagu Indonesia Raya untuk Jokowi?;Oct 22, 2019;Joko Widodo;Presiden Rusia;Vladimir Putin
Claim by Beberapa sumber:;Jokowi di rumah penduduk di Riau dekat hutan yang terbakar;Sesat;Foto ini telah disunting, menggunakan foto Jokowi yang diambil tahun 2016;Sep 23, 2019;Joko Widodo;Periksa Fakta;
Claim by Berbagai sumber:;Video orang Amerika pendukung Presiden Jokowi;Sesat;Video ini menunjukkan demonstran anti rasisme di Amerika Serikat di bulan Juni 2020;Jun 24, 2020;Orang Amerika;Video;Periksa Fakta
Claim by Akun Facebook:;Novel Baswedan salahkan Presiden Jokowi terkait putusan pengadilan atas kasus penyiraman air keras terhadapnya dan menyuruhnya banding;Sesat;[Fakta atau Hoaks] Benarkah Narasi yang Sebut Novel Baswedan Salahkan Jokowi dan Menyuruhnya Banding?;Jun 17, 2020;Novel Baswedan;Joko Widodo;Banding
;Jalan tol ini berada di Indonesia dan dibangun di masa pemerintahan Jokowi;Sesat;Tidak, jalan tol di foto ini tidak berada di Indonesia dan tidak dibangun pada masa pemerintahan Presiden Jokowi;Apr 2, 2019;Jalan tol;Jalan;Joko Widodo
Claim by Beredar di YouTube dan Facebook:;Presiden Jokowi ancam copot Prabowo Subianto sebagai Menteri Pertahanan karena kalah pamor;Sesat;[Fakta atau Hoaks] Benarkah Presiden Jokowi Ancam Copot Prabowo karena Kalah Pamor?;Dec 2, 2019;Prabowo Subianto;Joko Widodo;Menteri
Claim by multiple sources:;Susilo Bambang Yudhoyono mendukung Presiden Indonesia Jokowi;Sesat;Tidak, video ini tidak menunjukkan dukungan SBY kepada Jokowi;Feb 24, 2019;Susilo Bambang Yudhoyono;Joko Widodo;Presiden Indonesia
Claim by Akun YouTube Erdogan Indonesia:;“TV Al-Jazeera menyiarkan kecurangan Pemilu di Indonesia, bikin geger Dunia. Pemilu curang telah dipertontonkan oleh Rezim Jokowi yang merusak citra Indonesia dimata dunia, demokrasi sudah mati di Indonesia. Itu Wiranto kalau berani suruh tutup TV tersebut, Sudah tersiar ke selu...;Sesat;[Fakta atau Hoaks] Benarkah TV Al-Jazeera Telah Menyiarkan Kecurangan Pemilu di Indonesia?;May 15, 2019;Pemilihan;Televisi;Cek Fakta Tempo - TEMPO.co
Claim by Narasi beredar di media sosial.:;Di bawah pemerintahan Joko Widodo, tiket kereta Jakara-Surabaya saat mudik harganya mencapai Rp1.500.000.;Sesat;[Fakta atau Hoaks] Benarkah Harga Tiket Kereta Surabaya-Jakarta Mencapai Rp 1,5 Juta yang Membuat Rakyat Semakin Sengsara?;May 31, 2019;Tiket kereta api;Kereta api;Tiket
Claim by Potongan video tersebar di Facebook:;Presiden Joko Widodo meminta masyarakat Indonesia menggunakan mata uang Yuan China untuk bertransaksi;Sesat;[Fakta atau Hoaks] Benarkah Jokowi Meminta Masyarakat Pakai Mata Uang Yuan Tiongkok?;Jun 14, 2019;Yuan Tiongkok;Mata Uang;Uang
Claim by multiple sources:;Anak Presiden Indonesia Jokowi memakai kaos dengan gambar simbol komunis;Sesat;Tidak, foto ini tidak menunjukkan anak presiden Indonesia memakai kaos dengan gambar simbol komunis;Mar 4, 2019;Presiden Indonesia;Joko Widodo;Simbol
Claim by Akun Facebook:;Presiden Jokowi berkata penusukan Syekh Ali Jaber tak perlu dibesar-besarkan;Sesat;[Fakta atau Hoaks] Benarkah Jokowi Berkata Penusukan Syekh Ali Jaber Tak Perlu Dibesar-besarkan?;Sep 21, 2020;Ali Jaber;Penusukan;Joko Widodo
Claim by Beredar di Facebook:;Wakil Presiden Ma'ruf Amin menyebut bahwa yang tidak mengakui Presiden Jokowi sebagai pemimpin akan masuk neraka;Sesat;[Fakta atau Hoaks] Benarkah Ma'ruf Amin Sebut yang Tak Akui Jokowi Pemimpin Bakal Masuk Neraka?;Feb 25, 2020;Ma'ruf Amin;Joko Widodo;Wakil presiden
Claim by Akun Facebook:;Presiden Jokowi berharap rakyat menerima TKA Cina sebagai saudara yang mencari nafkah di sini;Sesat;[Fakta atau Hoaks] Benarkah Jokowi Berharap Rakyat Terima TKA Cina sebagai Saudara yang Mencari Nafkah?;Sep 4, 2020;Joko Widodo;Nafkah;Cek Fakta Tempo - TEMPO.co
Claim by Beredar di Facebook:;Presiden Jokowi memakai kaos kuning yang bertuliskan Aica Aibon;Sesat;[Fakta atau Hoaks] Benarkah Presiden Jokowi Pakai Kaos Bertuliskan Aica Aibon?;Nov 12, 2019;Joko Widodo;Cek Fakta Tempo - TEMPO.co;
Claim by Akun Facebook Suhermanto Yasduri:;Foto yang diklaim sebagai foto Presiden Jokowi yang salah posisi bersedekap saat salat;Sesat;[Fakta atau Hoaks] Benarkah Ini Foto Presiden Jokowi yang Salah Posisi Bersedekap Saat Salat?;Jun 12, 2020;Joko Widodo;Salat;Cek Fakta Tempo - TEMPO.co
;Keluarga Besar Universitas Indonesia tidak mengakui Jokowi dan Ma'ruf Amin sebagai Presiden dan Wakil Presiden Indonesia Periode 2019-2024;Sesat;[Fakta atau Hoaks] Benarkah Keluarga Besar Universitas Indonesia Tak Akui Jokowi dan Ma'ruf Amin sebagai Presiden dan Wapres?;Oct 17, 2019;Ma'ruf Amin;Joko Widodo;Wakil Presiden Republik Indonesia
Claim by Akun Facebook:;Foto yang diklaim sebagai foto ayah Presiden Jokowi dan merupakan komandan underbow PKI;Sesat;[Fakta atau Hoaks] Benarkah Pria di Foto Ini Ayah Jokowi dan Komandan Underbow PKI?;Aug 5, 2020;Joko Widodo;Partai Komunis Indonesia;Ayah
Claim by Sejumlah situs dan akun-akun Facebook:;MPR mengusulkan agar Presiden Jokowi memimpin Indonesia hingga 2027;Sesat;[Fakta atau Hoaks] Benarkah MPR Usul Presiden Jokowi Pimpin Indonesia Hingga 2027?;Jun 26, 2020;Joko Widodo;Presiden Indonesia;Majelis Permusyawaratan Rakyat Republik Indonesia
Claim by Akun-akun Facebook:;PSBB Jakarta Jilid II adalah bagian dari skenario untuk mendesak Presiden Jokowi mundur;Sesat;[Fakta atau Hoaks] Benarkah PSBB Jakarta Jilid II Bagian dari Skenario Desak Jokowi Mundur?;Sep 14, 2020;Pembatasan Sosial Berskala Besar;Joko Widodo;Jakarta
Claim by Akun-akun Facebook:;Peneliti Australia menyebut Jokowi sebagai presiden tak berkemampuan tapi memiliki daya rusak;Sesat;[Fakta atau Hoaks] Benarkah Jokowi Disebut Tak Berkemampuan Tapi Punya Daya Rusak oleh Peneliti Australia?;Sep 9, 2020;Joko Widodo;Peneliti;Cek Fakta Tempo - TEMPO.co
Claim by Akun Twitter @do_ra_dong:;Adanya pengkondisian oleh KPU dan beberapa lembaga survei untuk memenangkan Joko Widodo-Ma'ruf Amin dengan angka sebesar 57%;Sesat;[Fakta atau Hoaks] Benarkah Hasil Sigi Lembaga Survei untuk Jokowi Hasil Pengkondisian?;Apr 5, 2019;Joko Widodo;Metodologi survei;Ma'ruf Amin
Claim by Beredar di media sosial:;Pidato Presiden Jokowi di G20 Summit hanya 1 menit;Sesat;[Fakta atau Hoaks] Benarkah TV Jepang Menertawakan Jokowi yang Hanya Berpidato 1 Menit di KTT G20?;Jul 3, 2019;Joko Widodo;G20;Konferensi tingkat tinggi
Claim by Akun blogspot Tribun Pos:;“Mendagri: Kades Hingga Gubernur Tidak Boleh Netral, Harus Turuti Kemauan Pak Jokowi”;Sesat;[Fakta atau Hoaks] Benarkah Mendagri Melarang Kades dan Lurah Bersikap Netral?;Mar 28, 2019;Kepala desa;Kementerian Dalam Negeri;Cek Fakta Tempo - TEMPO.co
Claim by Grup-grup WhatsApp:;Presiden Jokowi telah berhasil pulangkan uang negara hingga Rp 11 ribu triliun yang disimpan koruptor di Swiss;Sesat;[Fakta atau Hoaks] Benarkah Presiden Jokowi Telah Berhasil Pulangkan Uang 11 Ribu T dari Swiss?;Jul 8, 2020;Joko Widodo;Uang;Swiss
Claim by Beredar di YouTube:;Presiden Jokowi mundur dari jabatannya;Sesat;[Fakta atau Hoaks] Benarkah Presiden Jokowi Mundur dari Jabatannya?;Sep 10, 2019;Joko Widodo;Cek Fakta Tempo - TEMPO.co;
Claim by Narasi beredar di media sosial.:;Di bawah pemerintahan Joko Widodo, tiket kereta Jakara-Surabaya saat mudik harganya mencapai Rp1.500.000.;Sesat;[Fakta atau Hoaks] Benarkah Harga Tiket Kereta Surabaya-Jakarta Mencapai Rp 1,5 Juta yang Membuat Rakyat Semakin Sengsara?;May 31, 2019;Tiket kereta api;Kereta api;Tiket
Claim by Potongan video tersebar di Facebook:;Presiden Joko Widodo meminta masyarakat Indonesia menggunakan mata uang Yuan China untuk bertransaksi;Sesat;[Fakta atau Hoaks] Benarkah Jokowi Meminta Masyarakat Pakai Mata Uang Yuan Tiongkok?;Jun 14, 2019;Yuan Tiongkok;Mata Uang;Uang
Claim by multiple sources:;Anak Presiden Indonesia Jokowi memakai kaos dengan gambar simbol komunis;Sesat;Tidak, foto ini tidak menunjukkan anak presiden Indonesia memakai kaos dengan gambar simbol komunis;Mar 4, 2019;Presiden Indonesia;Joko Widodo;Simbol
Claim by Akun Facebook:;Presiden Jokowi berkata penusukan Syekh Ali Jaber tak perlu dibesar-besarkan;Sesat;[Fakta atau Hoaks] Benarkah Jokowi Berkata Penusukan Syekh Ali Jaber Tak Perlu Dibesar-besarkan?;Sep 21, 2020;Ali Jaber;Penusukan;Joko Widodo
Claim by Beredar di Facebook:;Wakil Presiden Ma'ruf Amin menyebut bahwa yang tidak mengakui Presiden Jokowi sebagai pemimpin akan masuk neraka;Sesat;[Fakta atau Hoaks] Benarkah Ma'ruf Amin Sebut yang Tak Akui Jokowi Pemimpin Bakal Masuk Neraka?;Feb 25, 2020;Ma'ruf Amin;Joko Widodo;Wakil presiden
Claim by Akun Facebook:;Presiden Jokowi berharap rakyat menerima TKA Cina sebagai saudara yang mencari nafkah di sini;Sesat;[Fakta atau Hoaks] Benarkah Jokowi Berharap Rakyat Terima TKA Cina sebagai Saudara yang Mencari Nafkah?;Sep 4, 2020;Joko Widodo;Nafkah;Cek Fakta Tempo - TEMPO.co
Claim by Beredar di Facebook:;Presiden Jokowi memakai kaos kuning yang bertuliskan Aica Aibon;Sesat;[Fakta atau Hoaks] Benarkah Presiden Jokowi Pakai Kaos Bertuliskan Aica Aibon?;Nov 12, 2019;Joko Widodo;Cek Fakta Tempo - TEMPO.co;
Claim by Akun Facebook Suhermanto Yasduri:;Foto yang diklaim sebagai foto Presiden Jokowi yang salah posisi bersedekap saat salat;Sesat;[Fakta atau Hoaks] Benarkah Ini Foto Presiden Jokowi yang Salah Posisi Bersedekap Saat Salat?;Jun 12, 2020;Joko Widodo;Salat;Cek Fakta Tempo - TEMPO.co
;Keluarga Besar Universitas Indonesia tidak mengakui Jokowi dan Ma'ruf Amin sebagai Presiden dan Wakil Presiden Indonesia Periode 2019-2024;Sesat;[Fakta atau Hoaks] Benarkah Keluarga Besar Universitas Indonesia Tak Akui Jokowi dan Ma'ruf Amin sebagai Presiden dan Wapres?;Oct 17, 2019;Ma'ruf Amin;Joko Widodo;Wakil Presiden Republik Indonesia
Claim by Akun Facebook:;Foto yang diklaim sebagai foto ayah Presiden Jokowi dan merupakan komandan underbow PKI;Sesat;[Fakta atau Hoaks] Benarkah Pria di Foto Ini Ayah Jokowi dan Komandan Underbow PKI?;Aug 5, 2020;Joko Widodo;Partai Komunis Indonesia;Ayah
Claim by Sejumlah situs dan akun-akun Facebook:;MPR mengusulkan agar Presiden Jokowi memimpin Indonesia hingga 2027;Sesat;[Fakta atau Hoaks] Benarkah MPR Usul Presiden Jokowi Pimpin Indonesia Hingga 2027?;Jun 26, 2020;Joko Widodo;Presiden Indonesia;Majelis Permusyawaratan Rakyat Republik Indonesia
Claim by Akun-akun Facebook:;PSBB Jakarta Jilid II adalah bagian dari skenario untuk mendesak Presiden Jokowi mundur;Sesat;[Fakta atau Hoaks] Benarkah PSBB Jakarta Jilid II Bagian dari Skenario Desak Jokowi Mundur?;Sep 14, 2020;Pembatasan Sosial Berskala Besar;Joko Widodo;Jakarta
Claim by Akun-akun Facebook:;Peneliti Australia menyebut Jokowi sebagai presiden tak berkemampuan tapi memiliki daya rusak;Sesat;[Fakta atau Hoaks] Benarkah Jokowi Disebut Tak Berkemampuan Tapi Punya Daya Rusak oleh Peneliti Australia?;Sep 9, 2020;Joko Widodo;Peneliti;Cek Fakta Tempo - TEMPO.co
Claim by Akun Twitter @do_ra_dong:;Adanya pengkondisian oleh KPU dan beberapa lembaga survei untuk memenangkan Joko Widodo-Ma'ruf Amin dengan angka sebesar 57%;Sesat;[Fakta atau Hoaks] Benarkah Hasil Sigi Lembaga Survei untuk Jokowi Hasil Pengkondisian?;Apr 5, 2019;Joko Widodo;Metodologi survei;Ma'ruf Amin
Claim by Beredar di media sosial:;Pidato Presiden Jokowi di G20 Summit hanya 1 menit;Sesat;[Fakta atau Hoaks] Benarkah TV Jepang Menertawakan Jokowi yang Hanya Berpidato 1 Menit di KTT G20?;Jul 3, 2019;Joko Widodo;G20;Konferensi tingkat tinggi
Claim by Akun blogspot Tribun Pos:;“Mendagri: Kades Hingga Gubernur Tidak Boleh Netral, Harus Turuti Kemauan Pak Jokowi”;Sesat;[Fakta atau Hoaks] Benarkah Mendagri Melarang Kades dan Lurah Bersikap Netral?;Mar 28, 2019;Kepala desa;Kementerian Dalam Negeri;Cek Fakta Tempo - TEMPO.co
Claim by Grup-grup WhatsApp:;Presiden Jokowi telah berhasil pulangkan uang negara hingga Rp 11 ribu triliun yang disimpan koruptor di Swiss;Tidak Terbukti;[Fakta atau Hoaks] Benarkah Presiden Jokowi Telah Berhasil Pulangkan Uang 11 Ribu T dari Swiss?;Jul 8, 2020;Joko Widodo;Uang;Swiss
Claim by Beredar di YouTube:;Presiden Jokowi mundur dari jabatannya;Tidak Terbukti;[Fakta atau Hoaks] Benarkah Presiden Jokowi Mundur dari Jabatannya?;Sep 10, 2019;Joko Widodo;Cek Fakta Tempo - TEMPO.co;
Claim by Situs Jayantara News:;Presiden Jokowi menyebut kepala daerah yang memainkan bantuan Covid-19 bakal dihukum seumur hidup;salah;[Fakta atau Hoaks] Benarkah Jokowi Sebut Kepala Daerah yang Mainkan Bantuan Covid-19 Bakal Dihukum Seumur Hidup?;May 4, 2020;Joko Widodo;Kepala daerah;COVID-19
Claim by Aljazera Online:;Info dari Turki: Erdogan tidak pernah akui kemenangan Jokowi;salah;[Fakta atau Hoaks] Benarkah Presiden Erdogan Tidak Mengakui Kemenangan Jokowi pada Pilpres 2019?;Apr 23, 2019;Recep Tayyip Erdoğan;Joko Widodo;Cek Fakta Tempo - TEMPO.co
Claim by Akun Facebook Bambang Tri:;KPU disuap untuk mengamankan kasus ijazah palsu Presiden Jokowi;salah;[Fakta atau Hoaks] Benarkah KPU Disuap untuk Amankan Kasus Ijazah Palsu Jokowi?;Jan 15, 2020;Joko Widodo;Ijazah;Komisi Pemilihan Umum Republik Indonesia
